date,up_count,down_count,flat_count,limit_up,limit_down,red_ratio,touch_down,zt_fail_count,hb_wave10,median_chg,avg_price,connect_hl,connect_2b,fc_ratio,zt_fail_ratio,zt_prev_ret
2007-07-06,1145.0,36.0,9.0,134.0,2.0,96.95173581710416,,,,,,,,,,
2007-07-09,1134.0,34.0,18.0,46.0,0.0,97.08904109589042,,,,,,,,,,
2007-07-10,211.0,965.0,14.0,16.0,8.0,17.9421768707483,,,,,,,,,,
2007-07-11,864.0,280.0,49.0,17.0,3.0,75.52447552447552,,,,,,,,,,
2007-07-12,716.0,405.0,72.0,24.0,4.0,63.87154326494202,,,,,,,,,,
2007-07-13,423.0,722.0,50.0,17.0,0.0,36.943231441048034,,,,,,,,,,
2007-07-16,189.0,975.0,21.0,8.0,17.0,16.237113402061855,,,,,,,,,,
2007-07-17,1039.0,121.0,36.0,22.0,1.0,89.56896551724138,,,,,,,,,,
2007-07-18,536.0,566.0,88.0,19.0,0.0,48.63883847549909,,,,,,,,,,
2007-07-19,692.0,429.0,72.0,16.0,1.0,61.73059768064228,,,,,,,,,,
2007-07-20,1178.0,15.0,6.0,39.0,0.0,98.74266554903603,,,,,,,,,,
2007-07-23,1187.0,8.0,0.0,101.0,0.0,99.3305439330544,,,,,,,,,,
2007-07-24,434.0,698.0,63.0,17.0,0.0,38.33922261484099,,,,,,,,,,
2007-07-25,1121.0,54.0,18.0,52.0,0.0,95.40425531914892,,,,,,,,,,
2007-07-26,940.0,214.0,42.0,35.0,0.0,81.45580589254766,,,,,,,,,,
2007-07-27,875.0,272.0,39.0,44.0,0.0,76.28596338273758,,,,,,,,,,
2007-07-30,986.0,152.0,46.0,51.0,0.0,86.64323374340948,,,,,,,,,,
2007-07-31,703.0,445.0,37.0,45.0,0.0,61.23693379790941,,,,,,,,,,
2007-08-01,121.0,1060.0,9.0,13.0,118.0,10.245554614733276,,,,,,,,,,
2007-08-02,1121.0,52.0,11.0,101.0,0.0,95.56692242114238,,,,,,,,,,
2007-08-03,753.0,375.0,49.0,44.0,0.0,66.75531914893617,,,,,,,,,,
2007-08-06,873.0,279.0,30.0,62.0,1.0,75.78125,,,,,,,,,,
2007-08-07,456.0,702.0,27.0,31.0,0.0,39.37823834196891,,,,,,,,,,
2007-08-08,319.0,840.0,21.0,11.0,1.0,27.5237273511648,,,,,,,,,,
2007-08-09,694.0,412.0,74.0,31.0,2.0,62.74864376130199,,,,,,,,,,
2007-08-10,257.0,904.0,14.0,23.0,7.0,22.136089577950045,,,,,,,,,,
2007-08-13,521.0,630.0,29.0,30.0,10.0,45.26498696785404,,,,,,,,,,
2007-08-14,1028.0,129.0,34.0,33.0,1.0,88.8504753673293,,,,,,,,,,
2007-08-15,401.0,763.0,25.0,26.0,1.0,34.450171821305844,,,,,,,,,,
2007-08-16,680.0,467.0,45.0,34.0,0.0,59.28509154315606,,,,,,,,,,
2007-08-17,424.0,726.0,45.0,8.0,2.0,36.869565217391305,,,,,,,,,,
2007-08-20,1155.0,29.0,6.0,54.0,0.0,97.55067567567568,,,,,,,,,,
2007-08-21,660.0,495.0,43.0,31.0,0.0,57.14285714285714,,,,,,,,,,
2007-08-22,760.0,386.0,48.0,33.0,1.0,66.3176265270506,,,,,,,,,,
2007-08-23,706.0,430.0,58.0,34.0,0.0,62.147887323943664,,,,,,,,,,
2007-08-24,583.0,570.0,39.0,27.0,0.0,50.563746747614914,,,,,,,,,,
2007-08-27,430.0,741.0,20.0,49.0,0.0,36.72075149444919,,,,,,,,,,
2007-08-28,488.0,673.0,35.0,36.0,0.0,42.03273040482343,,,,,,,,,,
2007-08-29,403.0,771.0,29.0,35.0,0.0,34.32708688245315,,,,,,,,,,
2007-08-30,1091.0,99.0,12.0,61.0,0.0,91.68067226890756,,,,,,,,,,
2007-08-31,741.0,399.0,64.0,31.0,0.0,65.0,,,,,,,,,,
2007-09-03,966.0,211.0,20.0,63.0,0.0,82.0730671197961,,,,,,,,,,
2007-09-04,401.0,778.0,27.0,12.0,0.0,34.01187446988973,,,,,,,,,,
